concurrency	ops/sec(cum)	p50(ms)	p99(ms)	read_tp	read_p50	read_p99	write_tp	write_p50	write_p99
6.0	213797.40000000002	0.17485714285714285	0.6148571428571429	204206.90000000002	0.1742857142857143	0.6148571428571429	9589.5	0.17542857142857143	0.6132857142857143
6	213797.40000000002	0.17485714285714285	0.6148571428571429	204206.90000000002	0.1742857142857143	0.6148571428571429	9589.5	0.17542857142857143	0.6132857142857143
7.0	253587.49999999997	0.17214285714285715	0.612	242272.0833333333	0.17157142857142857	0.612	11314.416666666668	0.1727142857142857	0.6137142857142857
7.0	253587.49999999997	0.17214285714285715	0.612	242272.0833333333	0.17157142857142857	0.612	11314.416666666668	0.1727142857142857	0.6137142857142857
7	253587.49999999997	0.17214285714285715	0.612	242272.0833333333	0.17157142857142857	0.612	11314.416666666668	0.1727142857142857	0.6137142857142857
8.0	283684.8333333334	0.1755	0.6341428571428571	271241.0	0.175	0.6341428571428571	12442.833333333332	0.176	0.6265714285714286
8	283684.8333333334	0.1755	0.6341428571428571	271241.0	0.175	0.6341428571428571	12442.833333333332	0.176	0.6265714285714286
9	301771.75	0.18414285714285714	0.673	288628.88333333336	0.18385714285714286	0.673	13141.866666666665	0.18442857142857141	0.6617142857142857
10.0	309875.95	0.19628571428571429	0.7642857142857142	296337.1	0.196	0.7642857142857142	13537.850000000002	0.19657142857142856	0.7654285714285715
10	309875.95	0.19628571428571429	0.7642857142857142	296337.1	0.196	0.7642857142857142	13537.850000000002	0.19657142857142856	0.7654285714285715
10	308353.4666666667	0.19571428571428573	0.7794285714285715	294956.31666666665	0.19528571428571428	0.7794285714285715	13396.150000000001	0.19614285714285715	0.7781428571428571
11.0	315551.3666666667	0.20785714285714285	0.8612857142857143	301846.63333333336	0.2077142857142857	0.8612857142857143	13703.733333333334	0.20800000000000002	0.8631428571428572
11.0	315551.3666666667	0.20785714285714285	0.8612857142857143	301846.63333333336	0.2077142857142857	0.8612857142857143	13703.733333333334	0.20800000000000002	0.8631428571428572
11	315551.3666666667	0.20785714285714285	0.8612857142857143	301846.63333333336	0.2077142857142857	0.8612857142857143	13703.733333333334	0.20800000000000002	0.8631428571428572
11	315287.1666666667	0.2077142857142857	0.8685714285714285	301517.35	0.20742857142857143	0.8685714285714285	13768.816666666668	0.208	0.8757142857142857
12.0	317553.63333333336	0.21907142857142856	0.9691428571428571	303788.1	0.21914285714285714	0.9691428571428571	13764.533333333333	0.219	0.9815714285714285
12	317553.63333333336	0.21907142857142856	0.9691428571428571	303788.1	0.21914285714285714	0.9691428571428571	13764.533333333333	0.219	0.9815714285714285
12	316087.08333333343	0.22028571428571428	0.9597142857142857	302382.8833333333	0.22028571428571428	0.9597142857142857	13703.199999999997	0.22028571428571428	0.9584285714285714
13	308715.3333333333	0.23464285714285715	1.1057142857142856	295356.8833333333	0.23457142857142857	1.1057142857142856	13357.45	0.2347142857142857	1.0912857142857142
14.0	298957.5833333334	0.2505	1.3407142857142857	285962.23333333334	0.25057142857142856	1.3407142857142857	12994.35	0.25042857142857144	1.2795714285714286
14	298957.5833333334	0.2505	1.3407142857142857	285962.23333333334	0.25057142857142856	1.3407142857142857	12994.35	0.25042857142857144	1.2795714285714286
15.0	287347.98333333334	0.26471428571428574	1.5999999999999999	274799.98333333334	0.2651428571428572	1.5999999999999999	12547.0	0.2642857142857143	1.5027142857142857
15.0	287347.98333333334	0.26471428571428574	1.5999999999999999	274799.98333333334	0.2651428571428572	1.5999999999999999	12547.0	0.2642857142857143	1.5027142857142857
15	287347.98333333334	0.26471428571428574	1.5999999999999999	274799.98333333334	0.2651428571428572	1.5999999999999999	12547.0	0.2642857142857143	1.5027142857142857
16.0	281072.36666666664	0.275	1.8408571428571427	268733.5833333333	0.2752857142857143	1.8408571428571427	12337.783333333335	0.27471428571428574	1.653142857142857
16.0	281072.36666666664	0.275	1.8408571428571427	268733.5833333333	0.2752857142857143	1.8408571428571427	12337.783333333335	0.27471428571428574	1.653142857142857
16.0	281072.36666666664	0.275	1.8408571428571427	268733.5833333333	0.2752857142857143	1.8408571428571427	12337.783333333335	0.27471428571428574	1.653142857142857
16	281072.36666666664	0.275	1.8408571428571427	268733.5833333333	0.2752857142857143	1.8408571428571427	12337.783333333335	0.27471428571428574	1.653142857142857
19.0	146089.03333333333	0.4169285714285714	4.8508571428571425	139532.75	0.42128571428571426	4.8508571428571425	6555.283333333333	0.4125714285714286	4.493857142857143
19.0	146089.03333333333	0.4169285714285714	4.8508571428571425	139532.75	0.42128571428571426	4.8508571428571425	6555.283333333333	0.4125714285714286	4.493857142857143
19	146089.03333333333	0.4169285714285714	4.8508571428571425	139532.75	0.42128571428571426	4.8508571428571425	6555.283333333333	0.4125714285714286	4.493857142857143
23.0	76063.13333333333	1.1986428571428571	9.738	72603.46666666666	1.3954285714285715	9.738	3458.6666666666665	1.0018571428571428	8.766857142857143
23.0	76063.13333333333	1.1986428571428571	9.738	72603.46666666666	1.3954285714285715	9.738	3458.6666666666665	1.0018571428571428	8.766857142857143
23	76063.13333333333	1.1986428571428571	9.738	72603.46666666666	1.3954285714285715	9.738	3458.6666666666665	1.0018571428571428	8.766857142857143
24.0	73059.83333333334	1.5322857142857143	10.501285714285714	69728.86666666667	1.7525714285714284	10.501285714285714	3329.9666666666667	1.312	9.373
24.0	73059.83333333334	1.5322857142857143	10.501285714285714	69728.86666666667	1.7525714285714284	10.501285714285714	3329.9666666666667	1.312	9.373
24.0	73059.83333333334	1.5322857142857143	10.501285714285714	69728.86666666667	1.7525714285714284	10.501285714285714	3329.9666666666667	1.312	9.373
24	73059.83333333334	1.5322857142857143	10.501285714285714	69728.86666666667	1.7525714285714284	10.501285714285714	3329.9666666666667	1.312	9.373
32.0	64085.23333333334	2.4317142857142855	14.790285714285714	61200.549999999996	2.5147142857142857	14.790285714285714	2883.6833333333334	2.3487142857142858	12.812714285714286
32.0	64085.23333333334	2.4317142857142855	14.790285714285714	61200.549999999996	2.5147142857142857	14.790285714285714	2883.6833333333334	2.3487142857142858	12.812714285714286
32.0	64085.23333333334	2.4317142857142855	14.790285714285714	61200.549999999996	2.5147142857142857	14.790285714285714	2883.6833333333334	2.3487142857142858	12.812714285714286
32	64085.23333333334	2.4317142857142855	14.790285714285714	61200.549999999996	2.5147142857142857	14.790285714285714	2883.6833333333334	2.3487142857142858	12.812714285714286
40.0	60860.41666666668	3.31	17.271	58140.26666666668	3.4832857142857145	17.271	2719.15	3.1367142857142856	15.098
40.0	60860.41666666668	3.31	17.271	58140.26666666668	3.4832857142857145	17.271	2719.15	3.1367142857142856	15.098
40.0	60860.41666666668	3.31	17.271	58140.26666666668	3.4832857142857145	17.271	2719.15	3.1367142857142856	15.098
40	60860.41666666668	3.31	17.271	58140.26666666668	3.4832857142857145	17.271	2719.15	3.1367142857142856	15.098
48.0	59882.716666666674	4.3262857142857145	19.04157142857143	57225.5	4.525857142857142	19.04157142857143	2656.216666666667	4.126714285714286	16.731285714285715
48.0	59882.716666666674	4.3262857142857145	19.04157142857143	57225.5	4.525857142857142	19.04157142857143	2656.216666666667	4.126714285714286	16.731285714285715
48.0	59882.716666666674	4.3262857142857145	19.04157142857143	57225.5	4.525857142857142	19.04157142857143	2656.216666666667	4.126714285714286	16.731285714285715
48	59882.716666666674	4.3262857142857145	19.04157142857143	57225.5	4.525857142857142	19.04157142857143	2656.216666666667	4.126714285714286	16.731285714285715
56.0	59975.899999999994	5.184142857142857	20.605	57328.166666666664	5.4071428571428575	20.605	2646.733333333334	4.961142857142857	18.068428571428573
56.0	59975.899999999994	5.184142857142857	20.605	57328.166666666664	5.4071428571428575	20.605	2646.733333333334	4.961142857142857	18.068428571428573
56.0	59975.899999999994	5.184142857142857	20.605	57328.166666666664	5.4071428571428575	20.605	2646.733333333334	4.961142857142857	18.068428571428573
56	59975.899999999994	5.184142857142857	20.605	57328.166666666664	5.4071428571428575	20.605	2646.733333333334	4.961142857142857	18.068428571428573
