concurrency	ops/sec(cum)	p50(ms)	p99(ms)	read_tp	read_p50	read_p99	write_tp	write_p50	write_p99
6.0	217922.88333333333	0.1722857142857143	0.6058571428571429	207912.84999999998	0.1717142857142857	0.6058571428571429	10009.033333333333	0.17285714285714285	0.6087142857142858
6	217922.88333333333	0.1722857142857143	0.6058571428571429	207912.84999999998	0.1717142857142857	0.6058571428571429	10009.033333333333	0.17285714285714285	0.6087142857142858
7.0	243807.26666666666	0.17971428571428572	0.624	232406.45	0.1792857142857143	0.624	11399.816666666666	0.18014285714285713	0.6237142857142857
7.0	243807.26666666666	0.17971428571428572	0.624	232406.45	0.1792857142857143	0.624	11399.816666666666	0.18014285714285713	0.6237142857142857
7	243807.26666666666	0.17971428571428572	0.624	232406.45	0.1792857142857143	0.624	11399.816666666666	0.18014285714285713	0.6237142857142857
7	245054.8166666667	0.17785714285714285	0.6237142857142857	234009.0833333333	0.17742857142857144	0.6237142857142857	11044.733333333334	0.17828571428571427	0.6205714285714286
8.0	268360.0	0.18442857142857141	0.653	256236.25	0.18385714285714286	0.653	12122.75	0.185	0.6408571428571429
8	268360.0	0.18442857142857141	0.653	256236.25	0.18385714285714286	0.653	12122.75	0.185	0.6408571428571429
8	269783.93333333335	0.18428571428571427	0.6545714285714286	257642.56666666665	0.18385714285714286	0.6545714285714286	12140.366666666669	0.18471428571428572	0.6558571428571428
9	290998.2833333333	0.19064285714285714	0.6844285714285715	278054.6333333333	0.19042857142857142	0.6844285714285715	12942.650000000001	0.19085714285714286	0.6762857142857143
10.0	294785.64999999997	0.20457142857142857	0.7805714285714286	281611.7166666667	0.20442857142857143	0.7805714285714286	13172.933333333334	0.2047142857142857	0.7802857142857142
10	294785.64999999997	0.20457142857142857	0.7805714285714286	281611.7166666667	0.20442857142857143	0.7805714285714286	13172.933333333334	0.2047142857142857	0.7802857142857142
10	294997.73333333334	0.20357142857142857	0.8278571428571428	281922.1	0.2032857142857143	0.8278571428571428	13074.633333333333	0.20385714285714288	0.826
11.0	284756.7833333333	0.22314285714285714	0.9637142857142857	271661.93333333335	0.22314285714285714	0.9637142857142857	13093.85	0.22314285714285714	0.9454285714285714
11.0	284756.7833333333	0.22314285714285714	0.9637142857142857	271661.93333333335	0.22314285714285714	0.9637142857142857	13093.85	0.22314285714285714	0.9454285714285714
11	284756.7833333333	0.22314285714285714	0.9637142857142857	271661.93333333335	0.22314285714285714	0.9637142857142857	13093.85	0.22314285714285714	0.9454285714285714
11	288088.04999999993	0.22314285714285714	0.9134285714285715	275337.60000000003	0.22285714285714286	0.9134285714285715	12749.45	0.22342857142857142	0.91
12.0	276411.9	0.24307142857142858	1.1184285714285713	264057.7166666667	0.2432857142857143	1.1184285714285713	12353.183333333332	0.24285714285714285	1.078
12	276411.9	0.24307142857142858	1.1184285714285713	264057.7166666667	0.2432857142857143	1.1184285714285713	12353.183333333332	0.24285714285714285	1.078
14.0	256616.91666666663	0.2800714285714286	1.566142857142857	245160.53333333333	0.2802857142857143	1.566142857142857	11455.383333333333	0.27985714285714286	1.479
14	256616.91666666663	0.2800714285714286	1.566142857142857	245160.53333333333	0.2802857142857143	1.566142857142857	11455.383333333333	0.27985714285714286	1.479
15.0	226983.28333333335	0.30042857142857143	2.13	216593.68333333335	0.30114285714285716	2.13	10388.6	0.2997142857142857	1.988
15.0	226983.28333333335	0.30042857142857143	2.13	216593.68333333335	0.30114285714285716	2.13	10388.6	0.2997142857142857	1.988
15	226983.28333333335	0.30042857142857143	2.13	216593.68333333335	0.30114285714285716	2.13	10388.6	0.2997142857142857	1.988
16.0	164043.20000000004	0.36857142857142855	3.209285714285714	156211.6666666667	0.3712857142857143	3.209285714285714	7830.533333333333	0.3658571428571428	3.025571428571429
16.0	164043.20000000004	0.36857142857142855	3.209285714285714	156211.6666666667	0.3712857142857143	3.209285714285714	7830.533333333333	0.3658571428571428	3.025571428571429
16.0	164043.20000000004	0.36857142857142855	3.209285714285714	156211.6666666667	0.3712857142857143	3.209285714285714	7830.533333333333	0.3658571428571428	3.025571428571429
16	164043.20000000004	0.36857142857142855	3.209285714285714	156211.6666666667	0.3712857142857143	3.209285714285714	7830.533333333333	0.3658571428571428	3.025571428571429
19.0	102118.48333333334	0.7732857142857142	5.747	97353.13333333333	0.8087142857142857	5.747	4764.35	0.7378571428571429	5.359428571428571
19.0	102118.48333333334	0.7732857142857142	5.747	97353.13333333333	0.8087142857142857	5.747	4764.35	0.7378571428571429	5.359428571428571
19	102118.48333333334	0.7732857142857142	5.747	97353.13333333333	0.8087142857142857	5.747	4764.35	0.7378571428571429	5.359428571428571
23.0	87118.16666666667	1.2865714285714285	7.847428571428571	83074.91666666667	1.3314285714285714	7.847428571428571	4042.25	1.2417142857142858	7.154857142857143
23.0	87118.16666666667	1.2865714285714285	7.847428571428571	83074.91666666667	1.3314285714285714	7.847428571428571	4042.25	1.2417142857142858	7.154857142857143
23	87118.16666666667	1.2865714285714285	7.847428571428571	83074.91666666667	1.3314285714285714	7.847428571428571	4042.25	1.2417142857142858	7.154857142857143
24.0	82218.11666666667	1.4524285714285714	8.463285714285714	78371.81666666665	1.5014285714285713	8.463285714285714	3845.3	1.4034285714285715	7.615428571428572
24.0	82218.11666666667	1.4524285714285714	8.463285714285714	78371.81666666665	1.5014285714285713	8.463285714285714	3845.3	1.4034285714285715	7.615428571428572
24.0	82218.11666666667	1.4524285714285714	8.463285714285714	78371.81666666665	1.5014285714285713	8.463285714285714	3845.3	1.4034285714285715	7.615428571428572
24	82218.11666666667	1.4524285714285714	8.463285714285714	78371.81666666665	1.5014285714285713	8.463285714285714	3845.3	1.4034285714285715	7.615428571428572
32.0	77336.05	2.0942142857142856	10.988428571428571	73776.71666666667	2.18	10.988428571428571	3558.333333333333	2.0084285714285715	9.760714285714286
32.0	77336.05	2.0942142857142856	10.988428571428571	73776.71666666667	2.18	10.988428571428571	3558.333333333333	2.0084285714285715	9.760714285714286
32.0	77336.05	2.0942142857142856	10.988428571428571	73776.71666666667	2.18	10.988428571428571	3558.333333333333	2.0084285714285715	9.760714285714286
32	77336.05	2.0942142857142856	10.988428571428571	73776.71666666667	2.18	10.988428571428571	3558.333333333333	2.0084285714285715	9.760714285714286
40.0	75151.58333333333	2.9209285714285715	12.189	71712.03333333333	3.021857142857143	12.189	3438.5499999999997	2.82	10.95357142857143
40.0	75151.58333333333	2.9209285714285715	12.189	71712.03333333333	3.021857142857143	12.189	3438.5499999999997	2.82	10.95357142857143
40.0	75151.58333333333	2.9209285714285715	12.189	71712.03333333333	3.021857142857143	12.189	3438.5499999999997	2.82	10.95357142857143
40	75151.58333333333	2.9209285714285715	12.189	71712.03333333333	3.021857142857143	12.189	3438.5499999999997	2.82	10.95357142857143
48.0	75713.31666666667	3.634714285714286	13.174428571428571	72274.25	3.7462857142857144	13.174428571428571	3438.066666666666	3.523142857142857	11.848142857142857
48.0	75713.31666666667	3.634714285714286	13.174428571428571	72274.25	3.7462857142857144	13.174428571428571	3438.066666666666	3.523142857142857	11.848142857142857
48.0	75713.31666666667	3.634714285714286	13.174428571428571	72274.25	3.7462857142857144	13.174428571428571	3438.066666666666	3.523142857142857	11.848142857142857
48	75713.31666666667	3.634714285714286	13.174428571428571	72274.25	3.7462857142857144	13.174428571428571	3438.066666666666	3.523142857142857	11.848142857142857
56.0	75723.06666666667	4.446142857142857	13.901285714285715	72290.36666666667	4.549714285714286	13.901285714285715	3431.7	4.3425714285714285	12.514285714285714
