ops/sec(cum)	p50(ms)	p99(ms)	skews
25534.000000000004	12.25	44.0	0
24232.1	9.35	48.2	0.1
24399.599999999995	16.3125	69.4625	0.2
25670.6	14.199999999999998	49.775	0.3
23976.5	11.8625	51.08749999999999	0.4
24251.899999999998	15.324999999999998	72.35	0.5
24156.399999999998	12.9125	70.25	0.6
22444.600000000002	4.5875	23.7125	0.7
21263.3	3.2250000000000005	46.8875	0.8
13072.199999999999	2.1125	7.575	0.9
7858.7	2.25	44.0	0.99
3736.7	2.6500000000000004	22.55	1.1
1278.7	3.7	62.9	1.3
1011.5	3.75	192.9	1.4
904.5	4.0	50.3	1.5
