ops/sec(cum)	p50(ms)	p99(ms)	skews
163619.1	3.9199999999999995	23.88	0
161889.3	3.4200000000000004	20.44	0.1
159723.0	2.98	16.999999999999996	0.2
164233.0	3.5799999999999996	22.66	0.3
161285.8	3.9199999999999995	23.779999999999998	0.4
162580.3	3.66	22.68	0.5
163306.19999999998	3.8	22.56	0.6
162981.8	3.38	20.98	0.7
158984.8	3.7	26.74	0.8
153204.69999999998	2.66	19.419999999999998	0.9
109956.6	1.05	5.5	0.99
102352.1	1.0	6.949999999999999	1.1
87569.6	1.0	9.4	1.2
89878.7	1.0	9.4	1.2
67225.8	1.0	10.0	1.4
57558.399999999994	1.05	18.35	1.5
