ops/sec(cum)	p50(ms)	p99(ms)	skews
44410.299999999996	2.5	28.3	0
49653.100000000006	2.1500000000000004	26.2	0.5
29306.8	1.8250000000000002	25.2	0.6
7906.599999999999	2.075	28.075	0.7
3302.3999999999996	2.25	96.5	0.8
1649.0	1.9	41.9	0.9
749.5999999999999	2.9	123.725	0.99
399.70000000000005	2.35	66.575	1.1
294.2	3.2	75.5	1.2
226.6	2.075	37.2	1.3
178.9	1.85	27.549999999999997	1.4
