elapsed	ops_cumul
1.0	21695.0
2.0	20887.0
3.0	20480.5
4.0	19768.6
5.0	19091.5
6.0	18819.0
7.0	18565.600000000002
8.0	18412.3
9.0	18201.8
10.0	18062.7
11.0	18089.6
12.0	17910.3
13.0	17613.0
14.0	17934.1
15.0	18244.699999999997
16.0	18450.3
17.0	18757.5
18.0	19009.199999999997
19.0	19251.1
20.0	19373.8
21.0	19502.5
22.0	19740.7
23.0	19586.5
24.0	19341.1
25.0	19344.6
26.0	19297.100000000002
27.0	19297.6
28.0	19318.9
29.0	19371.600000000002
30.0	19425.0
31.0	19428.5
32.0	19386.7
33.0	19400.7
34.0	19403.399999999998
35.0	19390.4
36.0	19460.5
37.0	19462.1
38.0	19449.300000000003
39.0	19441.4
40.0	19416.8
41.0	19445.4
42.0	19454.7
43.0	19479.5
44.0	19509.9
45.0	19521.3
46.0	19521.2
47.0	19533.6
48.0	19542.4
49.0	19560.9
50.0	19604.800000000003
51.0	19626.2
52.0	19652.6
53.0	19671.5
54.0	19679.3
55.0	19668.9
56.0	19739.0
57.0	19813.9
58.0	19952.3
59.0	20048.1
60.0	20154.0
61.0	20224.6
62.0	20312.2
63.0	20366.3
64.0	20450.6
65.0	20538.6
66.0	20615.300000000003
67.0	20687.600000000002
68.0	20765.9
69.0	20841.5
70.0	20928.0
71.0	20992.6
72.0	21044.1
73.0	21109.8
74.0	21173.5
75.0	21238.5
76.0	21331.9
77.0	21392.8
78.0	21446.5
79.0	21509.8
80.0	21561.600000000002
81.0	21613.300000000003
82.0	21669.100000000002
83.0	21705.899999999998
84.0	21767.6
85.0	21823.5
86.0	21866.000000000004
87.0	21892.8
88.0	21942.0
89.0	22015.0
90.0	22051.1
91.0	22093.600000000002
92.0	22142.8
93.0	22174.699999999997
94.0	22208.5
95.0	22239.3
96.0	22289.6
97.0	22340.0
98.0	22383.0
99.0	22430.3
100.0	22454.4
101.0	22500.8
102.0	22538.9
103.0	22565.5
104.0	22591.799999999996
105.0	22620.4
106.0	22653.4
107.0	22693.500000000004
108.0	22729.0
109.0	22754.899999999998
110.0	22783.3
111.0	22803.5
112.0	22846.9
113.0	22881.3
114.0	22910.800000000003
115.0	22937.1
116.0	22963.300000000003
117.0	22978.8
118.0	22992.4
119.0	23013.1
120.0	23046.000000000004
121.0	23068.200000000004
122.0	23101.0
123.0	23107.000000000004
124.0	23128.7
125.0	23160.4
126.0	23182.600000000002
127.0	23195.9
128.0	23223.5
129.0	23249.7
130.0	23271.7
131.0	23292.800000000003
132.0	23316.699999999997
133.0	23337.100000000002
134.0	23360.6
135.0	23390.9
136.0	23404.699999999997
137.0	23428.6
138.0	23442.8
139.0	23469.5
140.0	23485.4
141.0	23508.600000000002
142.0	23514.7
143.0	23530.800000000003
144.0	23541.0
145.0	23560.0
146.0	23571.100000000002
147.0	23580.4
148.0	23593.0
149.0	23611.100000000006
150.0	70859.9
