ops/sec(cum)	p50(ms)	p99(ms)	skews
45254.600000000006	2.1750000000000003	6.574999999999999	0
45506.2	3.0875	9.525	0.1
45611.8	2.3249999999999997	6.950000000000001	0.2
44035.99999999999	3.4625	11.862499999999999	0.3
46742.9	2.5875	7.6625000000000005	0.4
45713.200000000004	2.1625	6.525	0.5
46290.6	2.475	7.325	0.6
45542.4	4.1875	13.4375	0.7
46106.4	3.4999999999999996	10.75	0.8
46943.6	3.125	9.8375	0.9
45547.6	2.1750000000000003	6.4625	0.99
46564.299999999996	2.6875	8.087499999999999	1.1
